Term Code,College Code,Department Code,CRN,Campus Code,Subject Code,Course Number,Section Number,Section Title,Instructor 1 ID,Instructor 1 First Name,Instructor 1 Last Name,Question Number,Question,Mean,Median,Standard Deviation,Department Mean,Department Median,Similar College Mean,Similar College Median,College Mean,College Median,Percent Rank - Department,Percent Rank - College,Responses,Percent #1,Percent #2,Percent #3,Percent #4,Percent #5,ZScore - College,ZScore - College Similar Sections,Course Level,Section Size
201720,EN,EN00,35128,N,DSA,5113,001,Analytics & Metaheuristics,112998038,Charles,Nicholson,3,Class time was well used and contributed to my learning of the material.,4.52,5,0.77028,3.82818,4,4.05369,4,4.05369,4,76.471,62.776,25,0,0,16,16,68,0.40294,0.40294,All,All
201720,EN,EN00,35128,N,DSA,5113,001,Analytics & Metaheuristics,112998038,Charles,Nicholson,5,The instructor related course material to professional practice and/or research.,4.68,5,0.55678,4.18807,5,4.28105,5,4.28105,5,68.627,65.931,25,0,0,4,24,72,0.40603,0.40603,All,All
201720,EN,EN00,35128,N,DSA,5113,001,Analytics & Metaheuristics,112998038,Charles,Nicholson,6,The way in which the course was taught helped me develop analysis and design abilities.,4.48,5,0.77028,3.68197,4,4.01325,4,4.01325,4,74.51,61.199,25,0,0,16,20,64,0.39774,0.39774,All,All
201720,EN,EN00,35128,N,DSA,5113,001,Analytics & Metaheuristics,112998038,Charles,Nicholson,10,"In general, the instructor taught this course effectively.",4.6,5,0.57735,3.96682,4,4.1441,5,4.1441,5,62.745,62.461,25,0,0,4,32,64,0.40675,0.40675,All,All
201720,EN,EN00,35803,N,DSA,5113,995,Analytics & Metaheuristics,112998038,Charles,Nicholson,2,The instructor was well-organized and made adequate preparation for class.,4.69231,5,0.48038,4.13356,5,4.24749,5,4.24749,5,74.51,69.716,13,0,0,0,30.76923,69.23077,0.43323,0.43323,All,All
201720,EN,EN00,35803,N,DSA,5113,995,Analytics & Metaheuristics,112998038,Charles,Nicholson,3,Class time was well used and contributed to my learning of the material.,4.38462,5,0.76795,3.82818,4,4.05369,4,4.05369,4,66.667,52.681,13,0,0,15.38462,30.76923,53.84615,0.28595,0.28595,All,All
201720,EN,EN00,35803,N,DSA,5113,995,Analytics & Metaheuristics,112998038,Charles,Nicholson,5,The instructor related course material to professional practice and/or research.,4.69231,5,0.48038,4.18807,5,4.28105,5,4.28105,5,72.549,67.508,13,0,0,0,30.76923,69.23077,0.41856,0.41856,All,All
201720,EN,EN00,35803,N,DSA,5113,995,Analytics & Metaheuristics,112998038,Charles,Nicholson,6,The way in which the course was taught helped me develop analysis and design abilities.,4.53846,5,0.51887,3.68197,4,4.01325,4,4.01325,4,82.353,67.192,13,0,0,0,46.15385,53.84615,0.44755,0.44755,All,All
201720,EN,EN00,35803,N,DSA,5113,995,Analytics & Metaheuristics,112998038,Charles,Nicholson,10,"In general, the instructor taught this course effectively.",4.61538,5,0.50637,3.96682,4,4.1441,5,4.1441,5,64.706,63.091,13,0,0,0,38.46154,61.53846,0.42047,0.42047,All,All
201720,EN,EN00,35995,N,DSA,5113,996,Analytics & Metaheuristics,112998038,Charles,Nicholson,2,The instructor was well-organized and made adequate preparation for class.,4.66667,5,0.57735,4.13356,5,4.24749,5,4.24749,5,72.549,66.877,3,0,0,0,33.33333,66.66667,0.40826,0.40826,All,All
201720,EN,EN00,35995,N,DSA,5113,996,Analytics & Metaheuristics,112998038,Charles,Nicholson,3,Class time was well used and contributed to my learning of the material.,4.33333,5,0.57735,3.82818,4,4.05369,4,4.05369,4,60.784,48.58,3,0,0,0,66.66667,33.33333,0.24164,0.24164,All,All
201720,EN,EN00,35995,N,DSA,5113,996,Analytics & Metaheuristics,112998038,Charles,Nicholson,5,The instructor related course material to professional practice and/or research.,4.66667,5,0.57735,4.18807,5,4.28105,5,4.28105,5,66.667,64.984,3,0,0,0,33.33333,66.66667,0.39246,0.39246,All,All
201720,EN,EN00,35995,N,DSA,5113,996,Analytics & Metaheuristics,112998038,Charles,Nicholson,6,The way in which the course was taught helped me develop analysis and design abilities.,4.33333,5,0.57735,3.68197,4,4.01325,4,4.01325,4,68.627,50.473,3,0,0,0,66.66667,33.33333,0.27275,0.27275,All,All
201720,EN,EN00,35995,N,DSA,5113,996,Analytics & Metaheuristics,112998038,Charles,Nicholson,10,"In general, the instructor taught this course effectively.",4.66667,5,0.57735,3.96682,4,4.1441,5,4.1441,5,76.471,69.716,3,0,0,0,33.33333,66.66667,0.46623,0.46623,All,All
201720,EN,EN00,37106,N,DSA,5203,995,Time Series Analysis,112111442,S,Lakshmivarahan,2,The instructor was well-organized and made adequate preparation for class.,3.625,4,1.50594,4.13356,5,4.24749,5,4.24749,5,21.569,14.196,8,12.5,12.5,12.5,25,37.5,-0.60627,-0.60627,All,All
201720,EN,EN00,37106,N,DSA,5203,995,Time Series Analysis,112111442,S,Lakshmivarahan,3,Class time was well used and contributed to my learning of the material.,3.125,3,1.55265,3.82818,4,4.05369,4,4.05369,4,15.686,7.256,8,12.5,37.5,0,25,25,-0.80248,-0.80248,All,All
201720,EN,EN00,37106,N,DSA,5203,995,Time Series Analysis,112111442,S,Lakshmivarahan,5,The instructor related course material to professional practice and/or research.,2.75,3,1.66905,4.18807,5,4.28105,5,4.28105,5,5.882,1.577,8,37.5,12.5,0,37.5,12.5,-1.55823,-1.55823,All,All
201720,EN,EN00,37106,N,DSA,5203,995,Time Series Analysis,112111442,S,Lakshmivarahan,6,The way in which the course was taught helped me develop analysis and design abilities.,2.375,2,1.18773,3.68197,4,4.01325,4,4.01325,4,7.843,2.208,8,25,37.5,12.5,25,0,-1.39601,-1.39601,All,All
201720,EN,EN00,37106,N,DSA,5203,995,Time Series Analysis,112111442,S,Lakshmivarahan,10,"In general, the instructor taught this course effectively.",2.875,2.5,1.3562,3.96682,4,4.1441,5,4.1441,5,11.765,4.732,8,12.5,37.5,12.5,25,12.5,-1.13229,-1.13229,All,All
201720,EN,EN00,35720,N,DSA,5900,001,Professional Practice,112123488,Randa,Shehab,2,The instructor was well-organized and made adequate preparation for class.,4.72727,5,0.4671,4.13356,5,4.24749,5,4.24749,5,78.431,73.817,11,0,0,0,27.27273,72.72727,0.46728,0.46728,All,All
201720,EN,EN00,35720,N,DSA,5900,001,Professional Practice,112123488,Randa,Shehab,3,Class time was well used and contributed to my learning of the material.,4.63636,5,0.50452,3.82818,4,4.05369,4,4.05369,4,86.275,70.347,11,0,0,0,36.36364,63.63636,0.50348,0.50348,All,All
201720,EN,EN00,35720,N,DSA,5900,001,Professional Practice,112123488,Randa,Shehab,5,The instructor related course material to professional practice and/or research.,4.72727,5,0.4671,4.18807,5,4.28105,5,4.28105,5,74.51,70.032,11,0,0,0,27.27273,72.72727,0.45414,0.45414,All,All
201720,EN,EN00,35720,N,DSA,5900,001,Professional Practice,112123488,Randa,Shehab,6,The way in which the course was taught helped me develop analysis and design abilities.,4.81818,5,0.40452,3.68197,4,4.01325,4,4.01325,4,94.118,86.12,11,0,0,0,18.18182,81.81818,0.68591,0.68591,All,All
201720,EN,EN00,35720,N,DSA,5900,001,Professional Practice,112123488,Randa,Shehab,10,"In general, the instructor taught this course effectively.",4.81818,5,0.40452,3.96682,4,4.1441,5,4.1441,5,88.235,80.757,11,0,0,0,18.18182,81.81818,0.60141,0.60141,All,All
201720,EN,EN00,37295,N,DSA,5970,995,Bayesian Statistics,112979983,Wayne,Stewart,2,The instructor was well-organized and made adequate preparation for class.,4.57143,5,0.53452,4.13356,5,4.24749,5,4.24749,5,56.863,56.151,7,0,0,0,42.85714,57.14286,0.3155,0.3155,All,All
201720,EN,EN00,37295,N,DSA,5970,995,Bayesian Statistics,112979983,Wayne,Stewart,3,Class time was well used and contributed to my learning of the material.,4.85714,5,0.37796,3.82818,4,4.05369,4,4.05369,4,94.118,87.697,7,0,0,0,14.28571,85.71429,0.69426,0.69426,All,All
201720,EN,EN00,37295,N,DSA,5970,995,Bayesian Statistics,112979983,Wayne,Stewart,5,The instructor related course material to professional practice and/or research.,4,5,1,4.18807,5,4.28105,5,4.28105,5,31.373,21.451,7,0,0,42.85714,14.28571,42.85714,-0.28604,-0.28604,All,All
201720,EN,EN00,37295,N,DSA,5970,995,Bayesian Statistics,112979983,Wayne,Stewart,6,The way in which the course was taught helped me develop analysis and design abilities.,4.71429,5,0.48795,3.68197,4,4.01325,4,4.01325,4,90.196,79.18,7,0,0,0,28.57143,71.42857,0.59738,0.59738,All,All
201720,EN,EN00,37295,N,DSA,5970,995,Bayesian Statistics,112979983,Wayne,Stewart,10,"In general, the instructor taught this course effectively.",4.71429,5,0.48795,3.96682,4,4.1441,5,4.1441,5,82.353,73.502,7,0,0,0,28.57143,71.42857,0.50872,0.50872,All,All
201720,EN,EN00,37303,N,DSA,5970,996,Bayesian Statistics,112979983,Wayne,Stewart,2,The instructor was well-organized and made adequate preparation for class.,4.5,4.5,0.70711,4.13356,5,4.24749,5,4.24749,5,50.98,52.997,2,0,0,0,50,50,0.24593,0.24593,All,All
201720,EN,EN00,37303,N,DSA,5970,996,Bayesian Statistics,112979983,Wayne,Stewart,3,Class time was well used and contributed to my learning of the material.,4,4,1.41421,3.82818,4,4.05369,4,4.05369,4,39.216,33.123,2,0,0,50,0,50,-0.04639,-0.04639,All,All
201720,EN,EN00,37303,N,DSA,5970,996,Bayesian Statistics,112979983,Wayne,Stewart,5,The instructor related course material to professional practice and/or research.,5,5,0,4.18807,5,4.28105,5,4.28105,5,100,100,2,0,0,0,0,100,0.73171,0.73171,All,All
201720,EN,EN00,37303,N,DSA,5970,996,Bayesian Statistics,112979983,Wayne,Stewart,6,The way in which the course was taught helped me develop analysis and design abilities.,4.5,4.5,0.70711,3.68197,4,4.01325,4,4.01325,4,78.431,64.984,2,0,0,0,50,50,0.41478,0.41478,All,All
201720,EN,EN00,37303,N,DSA,5970,996,Bayesian Statistics,112979983,Wayne,Stewart,10,"In general, the instructor taught this course effectively.",4.5,4.5,0.70711,3.96682,4,4.1441,5,4.1441,5,56.863,55.836,2,0,0,0,50,50,0.31753,0.31753,All,All
201720,EN,EN00,35711,N,ENGR,1411,009,Freshman Engineering Exper,112281778,Laura,Wesson,2,The instructor was well-organized and made adequate preparation for class.,3.26667,4,0.88372,4.13356,5,4.24749,5,4.24749,5,13.725,7.886,15,0,26.66667,20,53.33333,0,-0.95527,-0.95527,All,All
201720,EN,EN00,35711,N,ENGR,1411,009,Freshman Engineering Exper,112281778,Laura,Wesson,3,Class time was well used and contributed to my learning of the material.,2.53333,3,1.18723,3.82818,4,4.05369,4,4.05369,4,5.882,1.893,15,20,33.33333,26.66667,13.33333,6.66667,-1.31374,-1.31374,All,All
201720,EN,EN00,35711,N,ENGR,1411,009,Freshman Engineering Exper,112281778,Laura,Wesson,5,The instructor related course material to professional practice and/or research.,3.2,4,1.08233,4.18807,5,4.28105,5,4.28105,5,7.843,3.155,15,13.33333,6.66667,26.66667,53.33333,0,-1.10024,-1.10024,All,All
201720,EN,EN00,35711,N,ENGR,1411,009,Freshman Engineering Exper,112281778,Laura,Wesson,6,The way in which the course was taught helped me develop analysis and design abilities.,2.33333,3,1.04654,3.68197,4,4.01325,4,4.01325,4,5.882,1.577,15,26.66667,26.66667,33.33333,13.33333,0,-1.43152,-1.43152,All,All
201720,EN,EN00,35711,N,ENGR,1411,009,Freshman Engineering Exper,112281778,Laura,Wesson,10,"In general, the instructor taught this course effectively.",2.6,3,1.0556,3.96682,4,4.1441,5,4.1441,5,7.843,2.524,15,20,20,40,20,0,-1.37764,-1.37764,All,All
